farmName,sectionName,msgTimeStr,farmID,sectionID,liquidLevelValue,msgTime
中联峨桥智慧农业示范基地,73,1749949233000,47035753446400,65935709358290,5.6,2025-06-15 01:00:33
中联峨桥智慧农业示范基地,73,1749949236000,47035753446400,65935709358290,5.6,2025-06-15 01:00:36
中联峨桥智慧农业示范基地,73,1749949238000,47035753446400,65935709358290,5.6,2025-06-15 01:00:38
中联峨桥智慧农业示范基地,73,1749949241000,47035753446400,65935709358290,5.4,2025-06-15 01:00:41
中联峨桥智慧农业示范基地,73,1749949247000,47035753446400,65935709358290,5.3,2025-06-15 01:00:47
中联峨桥智慧农业示范基地,73,1749949252000,47035753446400,65935709358290,5.3,2025-06-15 01:00:52
中联峨桥智慧农业示范基地,73,1749949254000,47035753446400,65935709358290,5.2,2025-06-15 01:00:54
中联峨桥智慧农业示范基地,73,1749949257000,47035753446400,65935709358290,5.2,2025-06-15 01:00:57
中联峨桥智慧农业示范基地,73,1749949263000,47035753446400,65935709358290,5.3,2025-06-15 01:01:03
中联峨桥智慧农业示范基地,73,1749949265000,47035753446400,65935709358290,5.3,2025-06-15 01:01:05
中联峨桥智慧农业示范基地,73,1749949268000,47035753446400,65935709358290,5.1,2025-06-15 01:01:08
中联峨桥智慧农业示范基地,73,1749949270000,47035753446400,65935709358290,5.1,2025-06-15 01:01:10
中联峨桥智慧农业示范基地,73,1749949325000,47035753446400,65935709358290,5.1,2025-06-15 01:02:05
中联峨桥智慧农业示范基地,73,1749949385000,47035753446400,65935709358290,5.1,2025-06-15 01:03:05
中联峨桥智慧农业示范基地,73,1749949446000,47035753446400,65935709358290,5.1,2025-06-15 01:04:06
中联峨桥智慧农业示范基地,73,1749949506000,47035753446400,65935709358290,5.1,2025-06-15 01:05:06
中联峨桥智慧农业示范基地,73,1749953344000,47035753446400,65935709358290,5.7,2025-06-15 02:09:04
中联峨桥智慧农业示范基地,73,1749953347000,47035753446400,65935709358290,5.6,2025-06-15 02:09:07
中联峨桥智慧农业示范基地,73,1749953349000,47035753446400,65935709358290,5.6,2025-06-15 02:09:09
中联峨桥智慧农业示范基地,73,1749953352000,47035753446400,65935709358290,5.5,2025-06-15 02:09:12
中联峨桥智慧农业示范基地,73,1749953357000,47035753446400,65935709358290,5.4,2025-06-15 02:09:17
中联峨桥智慧农业示范基地,73,1749953362000,47035753446400,65935709358290,5.4,2025-06-15 02:09:22
中联峨桥智慧农业示范基地,73,1749953364000,47035753446400,65935709358290,5.4,2025-06-15 02:09:24
中联峨桥智慧农业示范基地,73,1749953368000,47035753446400,65935709358290,5.4,2025-06-15 02:09:28
中联峨桥智慧农业示范基地,73,1749953373000,47035753446400,65935709358290,5.3,2025-06-15 02:09:33
